batter,total_runs,balls_faced,total_dots,player_strike_rate,player_dot_percent
WA Mota,56,76,30,73.68421052631578,39.473684210526315
WD Parnell,65,86,43,75.5813953488372,50.0
WG Jacks,230,133,48,172.93233082706766,36.09022556390977
WP Saha,2934,2368,935,123.90202702702702,39.4847972972973
WPUJC Vaas,81,73,24,110.95890410958904,32.87671232876712
Washington Sundar,378,341,135,110.85043988269794,39.589442815249264
X Thalaivan Sargunam,10,17,9,58.82352941176471,52.94117647058824
Y Gnaneswara Rao,19,18,9,105.55555555555556,50.0
Y Nagar,285,271,113,105.1660516605166,41.69741697416974
Y Prithvi Raj,0,1,1,0.0,100.0
Y Venugopal Rao,985,865,355,113.87283236994219,41.040462427745666
YA Abdulla,0,1,1,0.0,100.0
YBK Jaiswal,1607,1095,459,146.7579908675799,41.917808219178085
YK Pathan,3222,2334,872,138.04627249357327,37.36075407026564
YS Chahal,37,89,57,41.57303370786517,64.04494382022472
YV Dhull,16,23,10,69.56521739130434,43.47826086956522
YV Takawale,192,183,100,104.91803278688525,54.644808743169406
Yash Dayal,0,1,1,0.0,100.0
Yashpal Singh,47,67,39,70.1492537313433,58.2089552238806
Younis Khan,3,7,4,42.857142857142854,57.14285714285714
Yudhvir Singh,22,16,8,137.5,50.0
Yuvraj Singh,2754,2207,977,124.78477571363842,44.26823742637064
Z Khan,117,141,74,82.97872340425532,52.4822695035461
